"Year","Sex","Type of marriage","Age groups total","19 and under","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75 and over","Age unknown"
"2024","Males","All marriages",6290,40,532,1005,1339,1152,720,506,345,200,141,75,39,32,164
"2024","Females","All marriages",6432,138,886,1325,1269,984,623,444,267,143,91,59,22,10,171
