year,sex,place,age_group,population
2025,total,harju_county,10-14,37501
2025,total,harju_county,15-19,37712
2025,total,harju_county,20-24,31283
2025,total,harju_county,25-29,34078
2025,total,harju_county,30-34,46361
2025,total,harju_county,35-39,58531
2025,total,harju_county,40-44,53660
2025,total,harju_county,45-49,48975
2025,total,harju_county,50-54,43490
2025,total,harju_county,55-59,35625
2025,total,harju_county,60-64,35674
2025,total,harju_county,65-69,34015
2025,total,harju_county,70-74,29017
2025,total,harju_county,75-79,22484
2025,total,harju_county,80-84,14854
2025,total,harju_county,85-89,11232
2025,total,harju_county,90-94,3936
2025,total,harju_county,95-99,950
2025,total,harju_county,85_plus,16213
2025,total,harju_county,100_plus,95
2025,male,whole_country,total,649753
2025,male,whole_country,0-4,31136
2025,male,whole_country,5-9,38912
2025,male,whole_country,10-14,39468
2025,male,whole_country,15-19,40682
2025,male,whole_country,20-24,34455
2025,male,whole_country,25-29,34702
2025,male,whole_country,30-34,45731
2025,male,whole_country,35-39,56684
2025,male,whole_country,40-44,51648
2025,male,whole_country,45-49,48027
2025,male,whole_country,50-54,46471
2025,male,whole_country,55-59,40210
2025,male,whole_country,60-64,39653
2025,male,whole_country,65-69,35263
2025,male,whole_country,70-74,27338
2025,male,whole_country,75-79,18748
2025,male,whole_country,80-84,11305
2025,male,whole_country,85-89,6765
2025,male,whole_country,90-94,2175
2025,male,whole_country,95-99,352
2025,male,whole_country,85_plus,9320
2025,male,whole_country,100_plus,28
2025,male,harju_county,total,306514
2025,male,harju_county,0-4,15340
2025,male,harju_county,5-9,19240
2025,male,harju_county,10-14,19110
2025,male,harju_county,15-19,19431
2025,male,harju_county,20-24,15582
2025,male,harju_county,25-29,16964
2025,male,harju_county,30-34,23390
2025,male,harju_county,35-39,29878
2025,male,harju_county,40-44,27022
2025,male,harju_county,45-49,24776
2025,male,harju_county,50-54,21587
2025,male,harju_county,55-59,17258
2025,male,harju_county,60-64,15998
2025,male,harju_county,65-69,14077
2025,male,harju_county,70-74,10868
